"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
61,"1","2026-04-18T09:05:36.986960Z",61,5.09,"Positive","The product arrived quickly and works perfectly.","2026-04-18T09:05:36.986960Z"
62,"1","2026-04-18T09:05:44.720822Z",62,4.985,"Positive","I am very happy with this purchase.","2026-04-18T09:05:44.720822Z"
63,"1","2026-04-18T09:05:54.760523Z",63,6.82,"Negative","The item feels cheap and poorly made.","2026-04-18T09:05:54.760523Z"
64,"1","2026-04-18T09:06:02.825467Z",64,5.624,"Positive","It works exactly as described.","2026-04-18T09:06:02.825467Z"
65,"1","2026-04-18T09:06:10.821109Z",65,5.291,"Negative","I regret buying this product.","2026-04-18T09:06:10.821109Z"
66,"1","2026-04-18T09:06:22.283008Z",66,7.196,"Positive","The quality exceeded my expectations.","2026-04-18T09:06:22.283008Z"
67,"1","2026-04-18T09:06:31.166306Z",67,4.462,"Negative","It stopped working after one week.","2026-04-18T09:06:31.166306Z"
68,"1","2026-04-18T09:06:40.523401Z",68,6.9,"Positive","I am satisfied with the performance.","2026-04-18T09:06:40.523401Z"
69,"1","2026-04-18T09:06:53.177043Z",69,9.191,"Negative","This is a complete waste of money.","2026-04-18T09:06:53.177043Z"
70,"1","2026-04-18T09:07:01.899794Z",70,5.666,"Positive","It does the job well enough.","2026-04-18T09:07:01.899794Z"
71,"1","2026-04-18T09:07:26.798923Z",71,8.861,"Positive","I would definitely recommend this product.","2026-04-18T09:07:26.798923Z"
72,"1","2026-04-18T09:07:33.971767Z",72,4.357,"Negative","It is not worth the price at all.","2026-04-18T09:07:33.971767Z"
73,"1","2026-04-18T09:07:41.258331Z",73,4.6,"Positive","The packaging was neat and secure.","2026-04-18T09:07:41.258331Z"
74,"1","2026-04-18T09:07:53.995776Z",74,5.551,"Negative","I am disappointed with the quality.","2026-04-18T09:07:53.995776Z"
75,"1","2026-04-18T09:08:04.437591Z",75,5.969,"Positive","The product works better than expected.","2026-04-18T09:08:04.437591Z"
76,"1","2026-04-18T09:08:12.491569Z",76,5.295,"Negative","It arrived damaged and unusable.","2026-04-18T09:08:12.491569Z"
77,"1","2026-04-18T09:08:24.416671Z",77,8.834,"Positive","Very useful and easy to use.","2026-04-18T09:08:24.416671Z"
78,"1","2026-04-18T09:08:33.578765Z",78,6.425,"Negative","I will not buy this again.","2026-04-18T09:08:33.578765Z"
79,"1","2026-04-18T09:08:42.317975Z",79,5.628,"Positive","It performs reliably every time.","2026-04-18T09:08:42.317975Z"
80,"1","2026-04-18T09:08:52.367355Z",80,6.195,"Negative","The design feels very low quality.","2026-04-18T09:08:52.367355Z"
81,"1","2026-04-18T09:09:05.182592Z",81,5.456,"Positive","I am impressed with how well it works.","2026-04-18T09:09:05.182592Z"
82,"1","2026-04-18T09:09:12.862610Z",82,4.697,"Negative","It broke after a few uses.","2026-04-18T09:09:12.862610Z"
83,"1","2026-04-18T09:09:23.197512Z",83,7.434,"Positive","This product met all my needs.","2026-04-18T09:09:23.197512Z"
84,"1","2026-04-18T09:09:33.311007Z",84,7.118,"Negative","It does not function properly.","2026-04-18T09:09:33.311007Z"
85,"1","2026-04-18T09:09:42.770709Z",85,6.033,"Positive","I’m very satisfied overall.","2026-04-18T09:09:42.770709Z"
86,"1","2026-04-18T09:09:52.627858Z",86,4.77,"Positive","It feels like a premium product.","2026-04-18T09:09:52.627858Z"
87,"1","2026-04-18T09:09:58.878221Z",87,3.6,"Negative","It failed to meet my expectations.","2026-04-18T09:09:58.878221Z"
88,"1","2026-04-18T09:10:07.777967Z",88,6.352,"Positive","Everything works as advertised.","2026-04-18T09:10:07.777967Z"
89,"1","2026-04-18T09:10:17.884956Z",89,7.333,"Negative","I feel like I wasted my money.","2026-04-18T09:10:17.884956Z"
90,"1","2026-04-18T09:10:27.769621Z",90,4.841,"Positive","Great value for the price.","2026-04-18T09:10:27.769621Z"
