"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
241,"1","2026-04-20T14:48:18.400637Z",241,"[{""start"":18,""end"":23,""text"":""Paris"",""labels"":[""LOCATION""]},{""start"":25,""end"":34,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":55,""end"":60,""text"":""Tesla"",""labels"":[""ORGANIZATION""]},{""start"":64,""end"":70,""text"":""Monday"",""labels"":[""DATE""]},{""start"":71,""end"":78,""text"":""morning"",""labels"":[""TIME""]}]",38.01,"After arriving in Paris, Elon Musk met executives from Tesla on Monday morning.","2026-04-20T14:48:18.401634Z"
242,"1","2026-04-20T14:48:53.159692Z",242,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":20,""end"":26,""text"":""Berlin"",""labels"":[""LOCATION""]},{""start"":62,""end"":68,""text"":""Africa"",""labels"":[""LOCATION""]},{""start"":72,""end"":76,""text"":""2024"",""labels"":[""DATE""]}]",29.37,"Google announced in Berlin that it would expand operations in Africa in 2024.","2026-04-20T14:48:53.159692Z"
243,"1","2026-04-20T14:49:25.814912Z",243,"[{""start"":0,""end"":12,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":21,""end"":28,""text"":""Nairobi"",""labels"":[""LOCATION""]},{""start"":72,""end"":86,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":90,""end"":96,""text"":""Friday"",""labels"":[""DATE""]}]",28.475,"Barack Obama visited Nairobi and spoke at a conference organized by the United Nations on Friday.","2026-04-20T14:49:25.814912Z"
244,"1","2026-04-20T14:50:07.339712Z",244,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":14,""end"":20,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":38,""end"":44,""text"":""London"",""labels"":[""LOCATION""]},{""start"":45,""end"":54,""text"":""last week"",""labels"":[""DATE""]},{""start"":58,""end"":62,""text"":""3 PM"",""labels"":[""TIME""]}]",38.517,"Microsoft and Amazon signed a deal in London last week at 3 PM.","2026-04-20T14:50:07.339712Z"
245,"1","2026-04-20T14:50:38.425256Z",245,"[{""start"":0,""end"":14,""text"":""Serena William"",""labels"":[""PERSON""]},{""start"":27,""end"":35,""text"":""New York"",""labels"":[""LOCATION""]},{""start"":56,""end"":61,""text"":""Tokyo"",""labels"":[""LOCATION""]},{""start"":65,""end"":69,""text"":""June"",""labels"":[""DATE""]}]",27.625,"Serena Williams trained in New York before traveling to Tokyo in June.","2026-04-20T14:50:38.425256Z"
246,"1","2026-04-20T14:51:10.841260Z",246,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":48,""end"":56,""text"":""Tanzania"",""labels"":[""LOCATION""]},{""start"":61,""end"":66,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":67,""end"":76,""text"":""this year"",""labels"":[""DATE""]}]",29.714,"The World Bank approved funding for projects in Tanzania and Kenya this year.","2026-04-20T14:51:10.841260Z"
247,"1","2026-04-20T14:51:42.238115Z",247,"[{""start"":0,""end"":17,""text"":""Cristiano Ronaldo"",""labels"":[""PERSON""]},{""start"":39,""end"":51,""text"":""Saudi Arabia"",""labels"":[""LOCATION""]},{""start"":63,""end"":70,""text"":""evening"",""labels"":[""TIME""]},{""start"":74,""end"":80,""text"":""Sunday"",""labels"":[""DATE""]}]",28.521,"Cristiano Ronaldo played for a club in Saudi Arabia during the evening on Sunday.","2026-04-20T14:51:42.238115Z"
248,"1","2026-04-20T14:52:18.203001Z",248,"[{""start"":0,""end"":3,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Dubai"",""labels"":[""LOCATION""]},{""start"":59,""end"":73,""text"":""European Union"",""labels"":[""ORGANIZATION""]},{""start"":86,""end"":94,""text"":""March 10"",""labels"":[""DATE""]}]",32.962,"IBM hosted a global summit in Dubai where leaders from the European Union attended on March 10.","2026-04-20T14:52:18.203001Z"
249,"1","2026-04-20T14:52:51.230135Z",249,"[{""start"":0,""end"":13,""text"":""Angela Merkel"",""labels"":[""PERSON""]},{""start"":37,""end"":50,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":54,""end"":65,""text"":""Addis Ababa"",""labels"":[""LOCATION""]},{""start"":66,""end"":76,""text"":""last month"",""labels"":[""DATE""]}]",25.398,"Angela Merkel met officials from the African Union in Addis Ababa last month.","2026-04-20T14:52:51.230135Z"
250,"1","2026-04-20T14:53:15.193041Z",250,"[{""start"":0,""end"":7,""text"":""Netflix"",""labels"":[""ORGANIZATION""]},{""start"":34,""end"":40,""text"":""Canada"",""labels"":[""LOCATION""]},{""start"":51,""end"":60,""text"":""Elon Musk"",""labels"":[""PERSON""]}]",20.971,"Netflix released a documentary in Canada featuring Elon Musk and other leaders.","2026-04-20T14:53:15.193041Z"
